Employee Name,ID,Time In,Time Out,Status
Zeeshan Ahmed,EMP-101,08:50 AM,05:00 PM,Present
Sana Khan,EMP-102,09:10 AM,05:05 PM,Late
Bilal Siddiqui,EMP-103,08:55 AM,05:00 PM,Present
Ayesha Malik,EMP-104,---,---,Absent
Usman Qureshi,EMP-105,09:20 AM,05:15 PM,Late
Hamza Ali,EMP-106,08:45 AM,04:55 PM,Present
Maryam Jameel,EMP-107,09:05 AM,05:00 PM,Late
Faisal Raza,EMP-108,---,---,Absent
Zainab Bibi,EMP-109,08:58 AM,05:02 PM,Present
Omer Farooq,EMP-110,09:00 AM,05:00 PM,Present
Hina Shah,EMP-111,09:45 AM,05:30 PM,Late
Saad Mansoor,EMP-112,---,---,Absent
Khurram Shahzad,EMP-113,08:30 AM,04:30 PM,Present
Amna Sheikh,EMP-114,09:02 AM,05:00 PM,Late
Tariq Mahmood,EMP-115,08:50 AM,05:10 PM,Present
Irfan Lodhi,EMP-116,---,---,Absent
Nida Hassan,EMP-117,09:15 AM,05:15 PM,Late
Mubeen Ashraf,EMP-118,08:55 AM,05:00 PM,Present
Fatima Batool,EMP-119,08:40 AM,05:00 PM,Present
Rizwan Haider,EMP-120,---,---,Absent
Arsalan Baig,EMP-121,08:55 AM,05:00 PM,Present
Mahira Khan,EMP-122,09:30 AM,05:30 PM,Late
Babar Azam,EMP-123,08:00 AM,04:00 PM,Present
Shaheen Afridi,EMP-124,---,---,Absent
Sajal Aly,EMP-125,09:05 AM,05:00 PM,Late
