Employee Name,Attendance Days,Basic Salary,Deductions,Net Pay
Zeeshan Ahmed,22,75000.0,0.0,75000.0
Sana Khan,21,75000.0,1500.0,73500.0
Bilal Siddiqui,22,85000.0,0.0,85000.0
Ayesha Malik,0,60000.0,60000.0,0.0
Usman Qureshi,20,65000.0,2000.0,63000.0
Hamza Ali,22,90000.0,0.0,90000.0
Maryam Jameel,21,70000.0,1500.0,68500.0
Faisal Raza,0,55000.0,55000.0,0.0
Zainab Bibi,22,45000.0,0.0,45000.0
Omer Farooq,22,110000.0,0.0,110000.0
Hina Shah,19,62000.0,4500.0,57500.0
Saad Mansoor,0,50000.0,50000.0,0.0
Khurram Shahzad,22,95000.0,0.0,95000.0
Amna Sheikh,21,68000.0,1000.0,67000.0
Tariq Mahmood,22,72000.0,0.0,72000.0
Irfan Lodhi,0,55000.0,55000.0,0.0
Nida Hassan,20,64000.0,2500.0,61500.0
Mubeen Ashraf,22,70000.0,0.0,70000.0
Fatima Batool,22,75000.0,0.0,75000.0
Rizwan Haider,0,50000.0,50000.0,0.0
Arsalan Baig,22,78000.0,0.0,78000.0
Mahira Khan,20,120000.0,3000.0,117000.0
Babar Azam,22,250000.0,0.0,250000.0
Shaheen Afridi,0,180000.0,180000.0,0.0
Sajal Aly,21,130000.0,2000.0,128000.0
